date,nav_per_unit,short_name
2015-01-31,21342.54,DCDS
2015-02-02,21222.23,DCDS
2015-02-03,21008.52,DCDS
2015-02-04,21100.58,DCDS
2015-02-05,21170.86,DCDS
2015-02-06,21348.86,DCDS
2015-02-09,21220.69,DCDS
2015-02-10,21213.39,DCDS
2015-02-11,21484.33,DCDS
2015-02-12,21649.18,DCDS
2015-02-13,21718.55,DCDS
2015-02-24,21783.07,DCDS
2015-02-25,21619.89,DCDS
2015-02-26,21778.76,DCDS
2015-02-27,21707.13,DCDS
2015-02-28,21706.6,DCDS
2015-03-02,21592.43,DCDS
2015-03-03,21809.51,DCDS
2015-03-04,22025.11,DCDS
2015-03-05,21987.21,DCDS
2015-03-06,21999.82,DCDS
2015-03-09,21872.13,DCDS
2015-03-10,21879.33,DCDS
2015-03-11,21757.21,DCDS
2015-03-12,21772.5,DCDS
2015-03-13,21715.76,DCDS
2015-03-16,21539.79,DCDS
2015-03-17,21585.89,DCDS
2015-03-18,21443.97,DCDS
2015-03-19,21280.94,DCDS
2015-03-20,21410.31,DCDS
2015-03-23,21207.3,DCDS
2015-03-24,21086.98,DCDS
2015-03-25,20996.38,DCDS
2015-03-26,20951.41,DCDS
2015-03-27,20811.52,DCDS
2015-03-30,20615.03,DCDS
2015-03-31,20737.23,DCDS
2015-04-01,20433.4,DCDS
2015-04-02,20683.77,DCDS
2015-04-03,20758.41,DCDS
2015-04-06,20645.36,DCDS
2015-04-07,20847.29,DCDS
2015-04-08,20821.57,DCDS
2015-04-09,20968.73,DCDS
2015-04-10,21084.67,DCDS
2015-04-13,21066.52,DCDS
2015-04-14,20973.02,DCDS
2015-04-15,21202.0,DCDS
2015-04-16,21303.61,DCDS
2015-04-17,21357.4,DCDS
2015-04-20,21260.2,DCDS
2015-04-21,21153.42,DCDS
2015-04-22,21178.37,DCDS
2015-04-23,21052.68,DCDS
2015-04-24,21111.76,DCDS
2015-04-27,20989.62,DCDS
2015-04-30,20988.33,DCDS
2015-05-04,20423.42,DCDS
2015-05-05,20671.95,DCDS
2015-05-06,20520.14,DCDS
2015-05-07,20675.01,DCDS
2015-05-08,20757.41,DCDS
2015-05-11,20635.79,DCDS
2015-05-12,20442.33,DCDS
2015-05-13,20388.37,DCDS
2015-05-14,20545.1,DCDS
2015-05-15,20235.72,DCDS
2015-05-18,19846.43,DCDS
2015-05-19,20075.52,DCDS
2015-05-20,20649.65,DCDS
2015-05-21,20754.57,DCDS
2015-05-22,21328.78,DCDS
2015-05-25,21416.28,DCDS
2015-05-26,21341.12,DCDS
2015-05-27,21355.2,DCDS
2015-05-28,21522.0,DCDS
2015-05-29,21497.69,DCDS
2015-05-31,21496.63,DCDS
2015-06-01,21500.18,DCDS
2015-06-02,21381.87,DCDS
2015-06-03,21477.79,DCDS
2015-06-04,21575.38,DCDS
2015-06-05,21851.46,DCDS
2015-06-08,21909.52,DCDS
2015-06-09,21831.41,DCDS
2015-06-10,21884.61,DCDS
2015-06-11,22053.58,DCDS
2015-06-12,22230.36,DCDS
2015-06-15,22169.23,DCDS
2015-06-16,21967.45,DCDS
2015-06-17,21861.41,DCDS
2015-06-18,21904.25,DCDS
2015-06-19,22024.11,DCDS
2015-06-22,22266.75,DCDS
2015-06-23,22273.79,DCDS
2015-06-24,22121.24,DCDS
2015-06-25,22071.79,DCDS
2015-06-26,21987.94,DCDS
2015-06-29,22299.55,DCDS
2015-06-30,22260.85,DCDS
2015-07-01,22340.5,DCDS
2015-07-02,22728.6,DCDS
2015-07-03,22992.05,DCDS
2015-07-06,23205.11,DCDS
2015-07-07,23175.18,DCDS
2015-07-08,23016.3,DCDS
2015-07-09,23092.07,DCDS
2015-07-10,23245.29,DCDS
2015-07-13,23436.54,DCDS
2015-07-14,23391.08,DCDS
2015-07-15,23097.2,DCDS
2015-07-16,23097.42,DCDS
